,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
49,7jVQ6DP7Q6S2wKWqJmcTZL,Dimmi_Che_C_è_(feat._Tedua),c@ra++ere_s?ec!@le,2022-09-30,thasup,['Tedua'],"['italian hip hop', 'italian pop', 'trap italiana']",72,8,80,0.73,0.68,0.48,-3.57,0.22,0.0,0.13,1,0.058,4,0.477,0.0,0.0,0.0,1.0,0.0,0.0,1
52,3VtGh8xE9qRsFyY2Uj1WG3,Hoe_(feat._Sfera_Ebbasta),La_Divina_Commedia,2023-06-02,Tedua,['Sfera_Ebbasta'],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",85,2,114,0.76,0.94,0.41,-6.62,0.1,0.0,0.16,1,0.117,4,0.406,0.0,0.0,0.0,1.0,0.0,0.0,1
53,6gs7AIeuNkpktUbwZcES2Y,Un_milione_di_volte_(feat._Sfera_Ebbasta),Santana_Season,2023-06-09,Shiva,['Sfera_Ebbasta'],"['italian hip hop', 'italian pop', 'trap italiana']",81,7,140,0.65,0.73,0.31,-5.87,0.25,0.0,0.12,0,0.057,4,0.306,0.0,0.0,0.0,1.0,0.0,0.0,1
54,1nRBnmoVz7Hgs8ZQAbTqMK,Rubami_la_Notte,Rubami_la_Notte,2023-05-19,Pinguini_Tattici_Nucleari,[],"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']",79,7,77,0.88,0.55,0.63,-5.19,0.07,0.0,0.61,1,0.038,4,0.634,0.0,0.0,0.0,1.0,0.0,0.0,1
55,5x9LonDyHxGUO2VzfHJHLE,COME_VUOI,IL_CORAGGIO_DEI_BAMBINI,2023-01-06,Geolier,[],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",81,8,130,0.63,0.76,0.9,-5.3,0.13,0.0,0.06,0,0.05,4,0.896,0.0,0.0,0.0,1.0,0.0,0.0,1
59,2hHC2jw8qiE4IAPDGjU4Fu,"Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)","Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)",2023-02-24,Finesse,"['Shiva', 'Sfera_Ebbasta', 'Guè']",[],83,7,150,0.67,0.73,0.48,-5.5,0.04,0.0,0.1,1,0.07,4,0.479,0.0,0.0,0.0,0.0,0.0,0.0,1
64,4e1U6KRJGed8gh3uRbAv3P,"MIRAGE_(feat._Ozuna,_GIMS_&_Sfera_Ebbasta)","MIRAGE_(feat._Ozuna,_Sfera_Ebbasta_&_GIMS)",2023-04-14,AriBeatz,"['Ozuna', 'GIMS', 'Sfera_Ebbasta']",[],84,7,172,0.6,0.7,0.42,-7.17,0.03,0.0,0.07,1,0.325,4,0.421,0.0,0.0,0.0,0.0,0.0,0.0,1
67,609E1JCInJncactoMmkDon,BESO,RR,2023-03-24,ROSALÍA,['Rauw_Alejandro'],"['pop', 'r&b en espanol']",96,5,95,0.64,0.77,0.53,-6.67,0.74,0.001,0.17,0,0.136,4,0.53,0.0,0.0,0.0,1.0,0.0,0.0,1
72,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
75,1la73rdzbQGNRFJyO9E71c,Arai_(feat._Capo_Plaza),Nove_Chiamate,2023-01-13,Medy,['Capo_Plaza'],"['italian hip hop', 'trap italiana']",77,4,128,0.73,0.82,0.68,-4.81,0.07,0.0,0.13,0,0.101,4,0.675,0.0,0.0,0.0,1.0,0.0,0.0,1
76,25DyHdcgQMJ2hEMSsrtTVX,Dimmi_Che_C_è_(feat._Tedua),Dimmi_Che_C_è_(feat._Tedua),2023-03-17,thasup,['Tedua'],"['italian hip hop', 'italian pop', 'trap italiana']",72,8,80,0.73,0.68,0.48,-3.57,0.22,0.0,0.13,1,0.058,4,0.477,0.0,0.0,0.0,1.0,0.0,0.0,1
77,3myPe2jZvDbPoNXY7v2TU0,Malamente,La_Divina_Commedia,2023-06-02,Tedua,[],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",80,6,81,0.65,0.46,0.23,-8.37,0.23,0.0,0.09,1,0.097,3,0.234,0.0,0.0,0.0,1.0,0.0,0.0,1
78,0uXDSAM6q44glALKnQQyqW,Fantasmi_(feat._Geolier),Radio_Gotham,2023-01-20,Rose_Villain,['Geolier'],"['italian hip hop', 'italian pop', 'milan indie']",75,0,98,0.77,0.76,0.46,-5.39,0.51,0.0,0.17,1,0.116,4,0.457,0.0,0.0,0.0,1.0,0.0,0.0,1
81,3X6QTmtaKukOu5lISJYi4g,ORIGAMI_ALL_ALBA_-_CLARA,ORIGAMI_ALL_ALBA,2023-02-24,Matteo_Paolillo_-_Icaro,"['Lolloflow', 'CLARA']",[],78,8,144,0.75,0.63,0.43,-6.48,0.58,0.0,0.14,0,0.064,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1
82,0hReXAWKqGzHBYnw0S1CXu,Altamente_Mia,Altamente_Mia,2023-04-07,Bresh,['SHUNE'],"['italian hip hop', 'italian pop', 'rap genovese']",74,3,80,0.65,0.61,0.39,-6.06,0.04,0.0,0.13,1,0.071,4,0.391,0.0,0.0,0.0,1.0,0.0,0.0,1
87,0gEw8izgROscS30OVqPb1e,Pazza_Musica,MATERIA_(PRISMA),2023-05-26,Marco_Mengoni,['Elodie'],"['italian adult pop', 'italian pop']",74,8,105,0.61,0.8,0.44,-6.0,0.1,0.0,0.24,0,0.083,4,0.442,0.0,0.0,0.0,1.0,0.0,0.0,1
92,5htUUUBlgHZ9fztWTTDEFm,Due_Vite,Due_Vite,2023-02-08,Marco_Mengoni,[],"['italian adult pop', 'italian pop']",78,2,117,0.54,0.64,0.13,-6.16,0.4,0.0,0.09,1,0.031,4,0.133,0.0,0.0,0.0,1.0,0.0,0.0,1
93,1vYXt7VSjH9JIM5oRRo7vA,Dance_The_Night_(From_Barbie_The_Album),Dance_The_Night_(From_Barbie_The_Album),2023-05-25,Dua_Lipa,[],"['dance pop', 'pop', 'uk pop']",93,11,110,0.84,0.67,0.78,-4.93,0.02,0.0,0.33,0,0.048,4,0.775,0.0,0.0,0.0,1.0,0.0,0.0,1
94,2oMjKuKUEJFuLiVmTq7Vjx,TQG,TQG,2023-02-23,KAROL_G,['Shakira'],"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,4,90,0.65,0.84,0.7,-3.38,0.67,0.0,0.13,0,0.212,4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1
96,43Wy3qYbTLUxUqsLZlTAa7,HOE_+_HARD_(feat._Tony_Effe),HOE_+_HARD_(feat._Tony_Effe),2023-03-03,Icy_Subzero,['Tony_Effe'],[],71,2,100,0.78,0.7,0.68,-6.28,0.19,0.0,0.31,1,0.078,4,0.676,0.0,0.0,0.0,0.0,0.0,0.0,1
98,3GlYaaFuFxEJWYiN0Vc41f,Whip_Whip,Whip_Whip,2023-05-18,Rhove,[],"['italian hip hop', 'trap italiana']",75,10,100,0.76,0.72,0.76,-7.76,0.27,0.0,0.19,1,0.411,4,0.764,0.0,0.0,0.0,1.0,0.0,0.0,1
101,01Lhwz9MYE6hu58oLQjOxh,Un_Altro_Mondo_(con_Tananai_&_Marracash),Un_Altro_Mondo_(con_Tananai_&_Marracash),2023-06-21,Merk_&_Kremont,"['Tananai', 'Marracash']","['dutch house', 'electro house', 'progressive electro house', 'sky room']",66,8,136,0.91,0.58,0.33,-3.45,0.19,0.0,0.09,1,0.088,4,0.326,0.0,0.0,0.0,0.0,0.0,0.0,1
103,741UUVE2kuITl0c6zuqqbO,Barbie_World_(with_Aqua)_[From_Barbie_The_Album],Barbie_World_(with_Aqua)_[From_Barbie_The_Album],2023-06-23,Nicki_Minaj,"['Ice_Spice', 'Aqua']","['hip pop', 'pop', 'queens hip hop', 'rap']",82,0,144,0.58,0.77,0.75,-8.39,0.52,0.0,0.23,1,0.247,4,0.753,0.0,0.0,0.0,1.0,0.0,0.0,1
104,4bPsiRqWPFPgLiPQR7jNo4,A_Lesser_Man,The_Idol_Episode_3_(Music_from_the_HBO_Original_Series),2023-06-19,The_Weeknd,[],"['canadian contemporary r&b', 'canadian pop', 'pop']",76,9,140,0.53,0.5,0.16,-8.51,0.01,0.001,0.32,0,0.033,4,0.161,0.0,0.0,0.0,1.0,0.0,0.0,1
108,5lD27Apjkk7ywgklSgqA2R,Sole_nel_blocco,JONES,2023-06-23,Vegas_Jones,[],['italian hip hop'],55,0,80,0.58,0.73,0.32,-8.07,0.08,0.0,0.11,0,0.053,4,0.316,0.0,0.0,0.0,1.0,0.0,1.0,1
111,4EmH2iRucAgCOnhuJRotUi,Drifting,Drifting,2023-06-22,Tiësto,[],"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",71,9,130,0.95,0.62,0.38,-4.87,0.07,0.585,0.16,0,0.039,4,0.376,0.0,0.0,0.0,0.0,0.0,0.0,1
112,1aAE9RmUjVWacJjOEIL7aK,Maledetto_Mare,Maledetto_Mare,2023-06-23,Federico_Rossi,[],['italian pop'],52,8,156,0.88,0.54,0.57,-4.04,0.44,0.0,0.08,0,0.065,4,0.572,0.0,0.0,0.0,1.0,0.0,0.0,1
119,0u4McpLubDZh1DwT9rtpNr,Carrà,Carrà,2023-06-23,Gio_Evan,[],"['italian indie pop', 'italian pop']",44,6,120,0.66,0.78,0.87,-6.54,0.43,0.0,0.07,1,0.081,4,0.866,0.0,0.0,0.0,1.0,0.0,0.0,1
120,0zbO6cDFBa0JJblfyiTxgc,Curaçao,Curaçao,2023-06-23,Epoque,[],[],39,1,92,0.7,0.73,0.51,-5.49,0.0,0.0,0.09,1,0.052,4,0.513,0.0,0.0,0.0,0.0,0.0,0.0,1
121,2WwS4XZZCg56o3ywscBslY,Borotalco,Borotalco,2023-06-23,Fudasca,"['Memento', 'Assurditè']","['sad lo-fi', 'sad rap']",40,10,82,0.76,0.65,0.85,-6.05,0.21,0.0,0.35,1,0.153,4,0.85,0.0,0.0,0.0,0.0,0.0,0.0,1
122,1YR7Ed3gb7lTUiti5uJ3lB,DISPERATO,DISPERATO,2023-06-23,Tancredi,['EDONiCO'],['italian pop'],42,11,162,0.85,0.57,0.67,-8.01,0.0,0.0,0.23,1,0.042,4,0.67,0.0,0.0,0.0,1.0,0.0,0.0,1
123,3SF3BnafrAXdF5OVKvQVps,La_tua_ragazza,La_tua_ragazza,2023-06-23,svegliaginevra,[],[],42,1,130,0.83,0.74,0.89,-4.12,0.1,0.0,0.34,0,0.03,4,0.89,0.0,0.0,0.0,0.0,0.0,0.0,1
128,2uPyRKg62IcLFaGXXw0qEn,June_22nd,June_22nd,2023-06-22,Lil_Tjay,[],"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",72,11,160,0.67,0.69,0.3,-6.2,0.12,0.0,0.71,0,0.327,4,0.303,0.0,0.0,0.0,1.0,0.0,0.0,1
131,1PAKJ4G5tpNK0YYloB6dBv,Hagra,Hagra,2023-06-21,Nabi,[],[],58,4,105,0.64,0.88,0.58,-5.93,0.18,0.0,0.1,0,0.253,4,0.582,0.0,0.0,0.0,0.0,0.0,0.0,1
132,1lhNMgrlg1cWF3Hbix6kku,Miracolo,Miracolo,2023-06-23,JUNIOR_CALLY,[],"['italian hip hop', 'italian pop']",42,6,133,0.77,0.69,0.84,-7.8,0.06,0.0,0.18,1,0.075,4,0.845,0.0,0.0,0.0,1.0,0.0,0.0,1
137,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
138,6bcjN31l2M7nddJMKBJbDN,Bounce,Bounce,2023-06-20,Oliver_Tree,[],['alternative hip hop'],68,0,176,0.68,0.61,0.55,-4.93,0.03,0.0,0.47,0,0.057,4,0.548,0.0,0.0,0.0,0.0,0.0,0.0,1
139,5nlJwV1jDu4hhQdY3YsG8W,17_anni_(PANICO),17_anni_(PANICO),2023-06-23,LINDA,[],[],33,2,105,0.71,0.59,0.49,-6.91,0.0,0.0,0.18,1,0.067,4,0.488,0.0,0.0,0.0,0.0,0.0,0.0,1
143,49NAdUsRKTFK3Lz8k0yQNy,Toxic_Trait,Toxic_Trait,2023-06-22,Stormzy,['Fredo'],"['grime', 'uk hip hop']",72,10,140,0.79,0.76,0.86,-4.45,0.1,0.0,0.09,0,0.256,4,0.861,0.0,0.0,0.0,0.0,0.0,0.0,1
144,2wfsZraYJMgUE8Rg6JuzqM,Move_It,Move_It,2023-06-23,Stefflon_Don,[],"['dancehall', 'dancehall queen', 'uk dancehall', 'uk hip hop']",55,11,121,0.69,0.85,0.3,-4.96,0.0,0.0,0.11,1,0.047,4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1
145,5T1nY9ujQPDmOySQkfBZON,One_Like_You,Love_Lines,2023-06-21,LP,[],"['la pop', ""women's music""]",57,1,118,0.64,0.67,0.59,-8.0,0.12,0.004,0.16,1,0.032,4,0.59,0.0,0.0,0.0,0.0,0.0,0.0,1
146,7DD5C8Dxq3acjvwDUCvuQQ,If_I_Were_You,Lay_Your_Hands_Upon_My_Heart,2023-06-23,Rosa_Linn,[],['alt z'],53,1,134,0.88,0.64,0.39,-5.46,0.01,0.004,0.38,0,0.032,4,0.393,0.0,0.0,0.0,0.0,0.0,0.0,1
147,45hEUx8ywENLrB13nEfntt,rock_hudson,chemistry,2023-06-23,Kelly_Clarkson,[],"['dance pop', 'pop', 'talent show']",64,1,93,0.55,0.64,0.1,-7.61,0.01,0.0,0.12,1,0.035,4,0.101,0.0,0.0,0.0,1.0,0.0,0.0,1
148,5Fl7K6enaM7IDuOkmdbdXg,SWINE,SWINE,2023-06-22,Demi_Lovato,[],"['pop', 'post-teen pop']",64,7,112,0.94,0.54,0.35,-2.03,0.0,0.0,0.07,1,0.276,1,0.352,0.0,0.0,0.0,1.0,0.0,0.0,1
152,3kceCBwQ6yx1Z0U7mXMIdW,Fulmini,Fulmini,2023-06-23,Lucrezia,[],[],28,5,140,0.81,0.62,0.52,-5.47,0.09,0.0,0.2,1,0.055,4,0.515,0.0,0.0,0.0,0.0,0.0,0.0,1
153,5hKnSsWTspcGHY7iciiVwT,Che_bella_che_sei,CRICCA,2023-06-23,Cricca,[],[],36,11,118,0.77,0.73,0.28,-5.9,0.12,0.0,0.34,0,0.087,4,0.285,0.0,0.0,0.0,0.0,0.0,0.0,1
155,0J9g1MMJDhyvOb3NWckHMm,Chulo_pt.2,Chulo_pt.2,2023-06-22,Bad_Gyal,"['Tokischa', 'Young_Miko']","['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol']",75,5,97,0.88,0.85,0.56,-2.55,0.06,0.0,0.07,0,0.126,4,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1
157,4W7bfpXBXrH79dnWyJMkEX,If_Only_I_(feat._Bebe_Rexha),If_Only_I_(feat._Bebe_Rexha),2023-06-23,Loud_Luxury,"['Two_Friends', 'Bebe_Rexha']","['edm', 'pop dance']",67,0,120,0.73,0.69,0.69,-5.06,0.16,0.0,0.11,0,0.036,4,0.693,0.0,0.0,0.0,0.0,0.0,0.0,1
161,7CxRXdumn7xcDKoCD1gmYk,Euro,Euro,2023-06-23,LJK,[],[],36,0,138,0.74,0.69,0.66,-4.98,0.01,0.0,0.08,0,0.057,4,0.661,0.0,0.0,0.0,0.0,0.0,0.0,1
162,3NCRqWAMQf4WCOExuTlcCq,L_Anziano,FDM,2023-06-23,Rame,[],['italian hip hop'],40,8,97,0.6,0.65,0.33,-7.6,0.09,0.0,0.18,0,0.267,4,0.332,0.0,0.0,0.0,1.0,0.0,0.0,1
163,6fB6AOA4Uz3AGNJNp22zAv,KANDINSKIJ,KANDINSKIJ,2023-06-23,Guesan,['Garelli'],['rap genovese'],30,10,160,0.61,0.43,0.39,-7.77,0.09,0.0,0.1,0,0.248,3,0.387,0.0,0.0,0.0,0.0,0.0,0.0,1
164,4ejCsNXh66YasBUiwfBhDg,Mercy_(feat._Jacob_Lusk),Mercy_(feat._Jacob_Lusk),2023-06-23,The_Blessed_Madonna,"['Jacob_Lusk', 'Gabriels']",[],51,2,127,0.65,0.81,0.65,-6.05,0.01,0.0,0.71,0,0.094,4,0.652,0.0,0.0,0.0,0.0,0.0,0.0,1
165,0cTDPvlLlj1T3WwUMzX6Uq,Sometimes,Sometimes,2023-06-22,Shermanology,[],['dutch house'],54,11,129,0.68,0.76,0.74,-6.78,0.08,0.0,0.19,1,0.136,4,0.745,0.0,0.0,0.0,0.0,0.0,0.0,1
166,0lvOUYM0NzbzOI856TUHMM,I_ve_Been_In_Love,I_ve_Been_In_Love,2023-06-20,Jungle,['Channel_Tres'],"['indie soul', 'indietronica', 'uk contemporary r&b']",65,9,115,0.51,0.68,0.59,-9.5,0.42,0.002,0.43,0,0.067,4,0.588,0.0,0.0,0.0,0.0,0.0,0.0,1
168,7zcmoCMq7ZlLL6GXnqfAJO,Hype,Hype,2023-06-23,I_Sentinelle,[],[],26,7,126,0.78,0.82,0.7,-4.94,0.08,0.0,0.09,0,0.353,4,0.703,0.0,0.0,0.0,0.0,0.0,0.0,1
169,6OWU5j4cfIy7kMIgRr8luy,corri_corri,corri_corri,2023-06-23,Giuze,[],[],25,0,90,0.49,0.52,0.24,-8.77,0.29,0.0,0.47,1,0.05,4,0.236,0.0,0.0,0.0,0.0,0.0,0.0,1
171,5ZRtXf6Fsb4dzhRMpfTlLF,SCUSAMI_MARTINA,CASA_DI_FABIO,2023-06-22,COLLETTIVO,[],[],29,9,95,0.94,0.56,0.63,-3.58,0.01,0.0,0.32,0,0.064,4,0.627,0.0,0.0,0.0,0.0,0.0,0.0,1
172,5f2aqqLjBh5xRt35Ji2xq7,Everything_Ends_(feat._Lizzy_McAlpine_and_Tiny_Habits),Everything_Ends_(feat._Lizzy_McAlpine_and_Tiny_Habits),2023-06-23,JP_Saxe,"['Lizzy_McAlpine', 'Tiny_Habits']","['alt z', 'canadian contemporary r&b', 'singer-songwriter pop']",62,4,94,0.33,0.54,0.41,-13.66,0.87,0.0,0.1,1,0.052,3,0.405,0.0,0.0,0.0,0.0,0.0,0.0,1
173,1puAdUyTT8jhtguWD0Rkpr,Cold,Home,2023-06-23,Emma_Steinbakken,[],"['norwegian pop', 'scandipop']",47,9,82,0.24,0.36,0.29,-7.91,0.57,0.0,0.34,1,0.037,3,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1
174,2GQqCyDCD0Z7BL2otJkFRh,lie,lie,2023-06-23,Nessa_Barrett,[],['social media pop'],68,2,155,0.5,0.65,0.66,-8.26,0.32,0.0,0.13,1,0.04,4,0.656,0.0,0.0,0.0,0.0,0.0,0.0,1
175,34V8glQTq23yuTs4YQp32R,CTRL_ALT_DEL,CTRL_ALT_DEL,2023-06-22,Sara_James,[],[],47,4,140,0.76,0.78,0.79,-5.84,0.04,0.0,0.09,0,0.071,4,0.794,0.0,0.0,0.0,0.0,0.0,0.0,1
176,4pMZgwTL354QFT6xIDLDif,The_Wonder,The_Wonder,2023-06-19,Miles_Kane,[],"['baroque pop', 'british indie rock', 'garage rock', 'modern rock']",47,10,106,0.96,0.52,0.51,-3.73,0.0,0.0,0.16,0,0.106,4,0.505,0.0,0.0,0.0,0.0,0.0,0.0,1
178,6KzI6EM1QYyOq5oudPlcWT,Alive!,Alive!,2023-06-21,Bakar,[],['uk alternative hip hop'],63,8,97,0.74,0.75,0.58,-5.41,0.52,0.0,0.09,0,0.031,4,0.579,0.0,0.0,0.0,0.0,0.0,0.0,1
181,7CgdGLMx3sATCtahSbZXGK,Videocall,Videocall,2023-06-23,Vergo,[],[],33,9,90,0.65,0.65,0.43,-6.92,0.39,0.0,0.37,1,0.029,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1
182,0V30c6Psolo64enBtAz5TY,Un_cinema,Un_cinema,2023-06-22,Masamasa,[],['italian indie pop'],39,5,108,0.52,0.72,0.91,-8.96,0.57,0.0,0.12,1,0.066,4,0.913,0.0,0.0,0.0,0.0,0.0,0.0,1
183,2LCfetXzZXRm0Naj8Y1p5K,Vertigini,I_Dolori_del_Giovane_Walter,2023-06-23,I_Dolori_del_Giovane_Walter,[],[],24,7,106,0.64,0.65,0.75,-7.4,0.46,0.0,0.14,0,0.031,4,0.749,0.0,0.0,0.0,1.0,0.0,0.0,1
184,3TR1cdHrO7ZQ3uSlh8B7cX,COME_MAI,COME_MAI,2023-06-23,CEASEFIRE,"['headows', '19cola']",[],28,8,127,0.69,0.44,0.78,-5.8,0.15,0.0,0.12,0,0.218,1,0.775,0.0,0.0,0.0,0.0,0.0,0.0,1
188,0yr27xDQKCUQNIXcwCRR2V,semaforo,semaforo,2023-06-23,Den,[],['emo trap italiana'],22,1,75,0.61,0.68,0.62,-6.73,0.05,0.0,0.4,1,0.084,4,0.619,0.0,0.0,0.0,0.0,0.0,0.0,1
