,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,preferito,cluster_labels
32,7KQvNlIPfn91wwxUT7OtNU,Erwin_s_Speech_(Interlude),100_Myles_Per_Hour,2022-07-29,KT.$PAZZIN,[],[],33,4,109,0.38,0.53,0.77,-18.25,0.77,0.0,0.24,0,0.395,4,0.774,0.0,0.0,0.0,0.0,0.0,0.0,1,29
33,0jqK7sGTLsHPkQrrcrGuKD,Still_Waiting,Does_This_Look_Infected?,2002-01-01,Sum_41,[],"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']",75,7,192,0.95,0.43,0.56,-4.92,0.0,0.0,0.27,1,0.26,4,0.56,0.0,0.0,0.0,1.0,0.0,0.0,1,4
34,4KacUpvbA3Mfo05gttTjhN,Fat_Lip,"All_Killer,_No_Filler",2001-01-01,Sum_41,[],"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']",77,9,197,0.91,0.4,0.63,-5.21,0.0,0.0,0.07,1,0.142,4,0.626,0.0,0.0,0.0,1.0,0.0,0.0,1,4
41,4NIlOI5gqHkkWGYBcLMX07,Ispirazione,"The_Illest,_Vol._1",2015,Mostro,"['lowlow', 'Vegas_Jones']","['italian hip hop', 'italian pop']",36,10,174,0.77,0.47,0.47,-6.69,0.37,0.0,0.12,0,0.495,3,0.474,1.0,0.0,0.0,1.0,1.0,0.0,1,12
45,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1,21
47,4J0zh9uSyny2f6TyFDzSwM,"Dio,_Ma_Quanto_E_Ingiusto_Il_Mondo",Notre-Dame_de_Paris_(Italian_Platinum_Edition),2002-01-04,Richard_Cocciante,[],[],17,8,113,0.27,0.46,0.24,-10.68,0.77,0.0,0.11,1,0.03,4,0.244,0.0,0.0,0.0,0.0,0.0,0.0,1,3
52,55SCtqrks5WVsUHC2TxnLC,We_Know_What_You_Whisper,Black_Panther:_Wakanda_Forever_(Original_Score),2022-11-11,Ludwig_Göransson,['Busiswa'],"['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",62,8,124,0.23,0.49,0.04,-16.11,0.49,0.101,0.1,1,0.066,4,0.0396,0.0,0.0,0.0,0.0,0.0,0.0,1,28
53,6DCJbX1rENLZVbjKdL74a9,"Marie_Douceur,_Marie_Colère",John_Wick:_Chapter_4_(Original_Motion_Picture_Soundtrack),2023-03-24,Manon_Hollander,[],[],43,9,161,0.86,0.29,0.35,-4.24,0.0,0.005,0.08,1,0.078,4,0.351,0.0,0.0,0.0,0.0,0.0,0.0,1,2
55,6opC2yzUVgBUX8rSpQJIN0,September,September,2022-08-01,CMDV,[],[],36,1,142,0.05,0.58,0.42,-24.0,0.91,0.0,0.08,1,0.057,3,0.419,0.0,0.0,0.0,0.0,0.0,0.0,1,24
57,6j5UUQakIGbRcLaoeJsSf7,Deep_Thoughts,Deep_Thoughts,2022-12-02,ofSoft,[],[],51,6,67,0.11,0.48,0.04,-25.39,0.84,0.871,0.11,1,0.038,3,0.0413,0.0,0.0,0.0,0.0,0.0,0.0,1,15
65,767T5vqvDToZ8LtqT8iZx9,Lord_Knows_/_Fighting_Stronger,CREED:_Original_Motion_Picture_Soundtrack,2015-11-20,Meek_Mill,"['Jhené_Aiko', 'Ludwig_Göransson']","['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",57,10,115,0.43,0.29,0.06,-11.84,0.25,0.006,0.05,1,0.046,4,0.0579,0.0,0.0,0.0,1.0,0.0,0.0,1,3
67,1E2dhjasJrVyhtoel7EHhI,Self_Talk,Self_Talk,2022-03-11,Parker_Jack,[],[],67,0,122,0.53,0.84,0.66,-12.21,0.56,0.0,0.07,1,0.44,4,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1,28
73,5XeFesFbtLpXzIVDNQP22n,I_Wanna_Be_Yours,AM,2013-09-09,Arctic_Monkeys,[],"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",95,0,68,0.42,0.46,0.48,-9.35,0.14,0.022,0.1,0,0.026,4,0.479,0.0,0.0,0.0,1.0,0.0,0.0,1,7
74,23w7p4AuDtw9CrhFBcMat5,Adonis_Interlude_(The_Montage)_(with_J._Cole),Creed_III:_The_Soundtrack,2023-03-03,Dreamville,['J._Cole'],"['hip hop', 'pop rap', 'rap', 'underground hip hop']",66,1,196,0.83,0.47,0.43,-5.29,0.17,0.0,0.09,1,0.438,4,0.431,0.0,0.0,0.0,1.0,0.0,0.0,1,4
75,6G45nT1iMlP1HdJ0MCTuDU,"Blood,_Sweat_&_Tears_(with_Bas_&_Black_Sherif_feat._Kel-P)","Blood,_Sweat_&_Tears_(with_Bas_&_Black_Sherif_feat._Kel-P)",2023-02-22,Dreamville,"['Bas', 'Black_Sherif', 'Kel-P']","['hip hop', 'pop rap', 'rap', 'underground hip hop']",56,2,110,0.5,0.67,0.41,-9.72,0.58,0.0,0.24,1,0.072,4,0.409,0.0,0.0,0.0,1.0,0.0,0.0,1,8
76,4hZAxSYVhaiFousCQM8LFc,Morto_Mai_(Piano_Solo),Re_Mida_(Piano_Solo),2019-10-01,Lazza,[],"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",61,7,110,0.56,0.68,0.51,-8.69,0.73,0.0,0.12,0,0.041,5,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1,21
78,56pKYnSA0CyayMJWcEU5kH,I_m_Not_a_Hero,The_Dark_Knight_(Original_Motion_Picture_Soundtrack),2008-07-14,Hans_Zimmer,['James_Newton_Howard'],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",57,10,130,0.29,0.3,0.05,-17.11,0.69,0.683,0.08,1,0.056,4,0.0492,1.0,0.0,0.0,0.0,1.0,0.0,1,27
79,0zO8ctW0UiuOefR87OeJOZ,Collard_Greens,Oxymoron_(Deluxe),2014-01-01,ScHoolboy_Q,['Kendrick_Lamar'],"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,11,154,0.57,0.82,0.65,-4.87,0.03,0.0,0.2,1,0.063,4,0.65,0.0,0.0,0.0,1.0,0.0,0.0,1,2
81,5lWFrW5T3JtxVCLDb7etPu,Bad_-_2012_Remaster,Bad_25th_Anniversary,2012-09-18,Michael_Jackson,[],"['r&b', 'soul']",71,8,114,0.89,0.79,0.39,-3.79,0.0,0.423,0.07,1,0.04,4,0.394,0.0,0.0,0.0,0.0,0.0,0.0,1,14
83,5T7ywazdGIydr6JCW6t02j,Smooth_Criminal_-_2012_Remaster,Bad_(Remastered),1987-08-31,Michael_Jackson,[],"['r&b', 'soul']",75,8,118,0.98,0.85,0.59,-3.95,0.25,0.468,0.31,1,0.075,4,0.595,0.0,0.0,0.0,0.0,0.0,0.0,1,14
85,7J1uxwnxfQLu4APicE5Rnj,Billie_Jean,Thriller,1982-11-30,Michael_Jackson,[],"['r&b', 'soul']",82,11,117,0.46,0.93,0.88,-9.62,0.02,0.044,0.04,0,0.054,4,0.884,0.0,0.0,0.0,0.0,0.0,0.0,1,3
88,0XRbYXQUymj9SJkrr8YK5B,Keep_Ya_Head_Up,Strictly_4_My_N.I.G.G.A.Z...,1993-02-16,2Pac,[],"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",74,4,172,0.73,0.6,0.59,-7.01,0.14,0.0,0.51,1,0.425,4,0.595,0.0,0.0,0.0,1.0,0.0,0.0,1,12
90,2AzbPKN2Vf3CUukNZGnjYx,MOSTRO,MOSTRO,2023-02-08,gIANMARIA,[],['emo trap italiana'],61,3,115,0.58,0.72,0.69,-5.69,0.19,0.0,0.11,1,0.057,4,0.688,0.0,0.0,0.0,0.0,0.0,0.0,1,8
96,3PYFSGwWNZWnQpiuGke2J9,under_the_weather,under_the_weather,2023-02-03,CORPSE,[],['pov: indie'],67,6,72,0.38,0.47,0.37,-15.97,0.77,0.013,0.11,1,0.268,4,0.366,0.0,0.0,0.0,0.0,0.0,0.0,1,15
98,0Uk8PDdq76h1xeLGVU2Xwv,Gravitational_Forces_-_Remix,Gravitational_Forces_(Remix),2023-01-27,feokky,[],[],4,7,92,0.28,0.46,0.04,-25.73,0.8,0.702,0.11,0,0.044,4,0.0376,0.0,0.0,0.0,0.0,0.0,0.0,1,25
100,4hArX7vFWANuw0gCA1KG5k,BODY_PARTS_-_I_denti,Persona,2020-03-27,Marracash,[],"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap napoletano']",54,7,106,0.75,0.69,0.38,-5.98,0.18,0.0,0.18,1,0.172,3,0.383,0.0,0.0,0.0,1.0,0.0,0.0,1,21
101,7oe1XGwYoXE3dd1v5ygE0z,"Running_Up_That_Hill_-_Epic_Version_(from_""Stranger_Things)_-_Cover","Running_Up_That_Hill_-_Epic_Version_(from_""Stranger_Things)_[Cover]",2022-06-30,Samuel_Kim,[],['anime lo-fi'],55,0,108,0.72,0.49,0.14,-9.0,0.01,0.736,0.15,0,0.042,4,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1,8
103,3eZUF65HbA141qh7OGsBER,L_ANGELO_CADUTO_-_feat._Shari,FLOP,2021-10-01,Salmo,['Shari'],"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",51,7,115,0.49,0.72,0.58,-7.38,0.26,0.0,0.05,1,0.075,4,0.576,1.0,0.0,0.0,1.0,1.0,0.0,1,14
106,2nMeu6UenVvwUktBCpLMK9,Young_And_Beautiful,Young_And_Beautiful,2013-01-01,Lana_Del_Rey,[],"['art pop', 'pop']",87,11,114,0.42,0.32,0.15,-8.92,0.26,0.0,0.11,0,0.037,4,0.151,0.0,0.0,0.0,1.0,0.0,0.0,1,3
107,7ckSHKZnX72c6IQnKGJNpi,Runnin_(feat._A$AP_Rocky_&_Jacob_Banks),Creed_II_(Score_&_Music_from_the_Original_Motion_Picture),2018-11-16,Ludwig_Göransson,"['A$AP_Rocky', 'Jacob_Banks']","['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",61,4,135,0.5,0.31,0.1,-13.06,0.27,0.003,0.08,1,0.102,4,0.0982,0.0,0.0,0.0,0.0,0.0,0.0,1,27
110,346SJSEbB6pNZMpwovxDiu,Mother_I_Sober_(feat._Beth_Gibbons_of_Portishead),Mr._Morale_&_The_Big_Steppers,2022-05-13,Kendrick_Lamar,['Beth_Gibbons'],"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",64,8,140,0.37,0.49,0.49,-14.86,0.87,0.0,0.11,0,0.329,4,0.491,0.0,0.0,0.0,1.0,0.0,0.0,1,27
112,1AJuDhb8wqV4gU5Ts6Htl5,Superhero_(Heroes_&_Villains)_[with_Future_&_Chris_Brown],HEROES_&_VILLAINS_(Heroes_Version),2022-12-05,Metro_Boomin,"['Future', 'Chris_Brown']","['hip hop', 'rap']",62,5,117,0.61,0.53,0.49,-5.3,0.15,0.0,0.19,0,0.259,4,0.492,0.0,0.0,0.0,1.0,0.0,0.0,1,14
114,6bHjk4FudnJpUEz1PGs1YS,Tears_in_the_Rain,Blade_Runner_2049_(Original_Motion_Picture_Soundtrack),2017-10-05,Hans_Zimmer,['Benjamin_Wallfisch'],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",51,0,116,0.31,0.19,0.03,-18.0,0.65,0.859,0.08,1,0.043,3,0.0316,1.0,0.0,0.0,0.0,1.0,0.0,1,28
117,4NgherJDfCXWBZBYheM4jK,WASTE,DISORDER,2021-10-29,Kxllswxtch,[],"['dark trap', 'oc rap', 'scream rap']",83,7,132,0.12,0.63,0.11,-14.41,0.86,0.001,0.15,1,0.032,4,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1,27
127,0khxy4FwKPWRhpAcN6Gf6Y,Gravitational_Forces,Luxury_Fashion,2021-02-08,ITG_Studios,[],[],58,2,102,0.47,0.58,0.03,-12.15,0.01,0.73,0.11,1,0.041,4,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,1,29
129,6GUq9y0Iy5QrAuPYxTrFp2,S.T.A.Y.,Interstellar_(Original_Motion_Picture_Soundtrack)_[Expanded_Edition],2014-11-18,Hans_Zimmer,[],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",66,5,191,0.03,0.08,0.03,-30.78,0.93,0.929,0.07,1,0.043,3,0.0256,1.0,0.0,0.0,0.0,1.0,0.0,1,16
132,7ybDQMh1p8DEbwwoARCjzH,Set_Fire_To_The_Rain_x_Another_Love_-_Remix,Set_Fire_To_The_Rain_x_Another_Love_(Remix),2022-11-26,Xanemusic,"['NVBR', 'kevoxx']",['sped up'],1,7,113,0.67,0.38,0.24,-9.37,0.18,0.0,0.3,1,0.036,4,0.244,0.0,0.0,0.0,0.0,0.0,0.0,1,3
136,4mowfIHVIYRoepbExd1cwu,God_of_War_Ragnarök_(feat._Eivør),God_of_War_Ragnarök_(Original_Soundtrack),2022-11-09,Bear_McCreary,['Eivør'],"['orchestral soundtrack', 'scorecore', 'soundtrack']",60,8,76,0.35,0.23,0.1,-10.97,0.56,0.744,0.11,1,0.031,4,0.0994,0.0,0.0,0.0,0.0,0.0,0.0,1,7
138,7ahabzYSnRJlsozhUgXvaR,Love_Me_(ecstazzz_Remix),Love_Me_(ecstazzz_Remix),2021-07-15,Zyrex,[],[],50,9,95,0.26,0.79,0.57,-15.14,0.68,0.0,0.34,1,0.309,4,0.569,0.0,0.0,0.0,0.0,0.0,0.0,1,25
141,4gRMhEkKrf16k9zjxLrzsm,XO_Tour_Life_-_Remix,XO_Tour_Life_(Remix),2018-05-08,Hux,[],[],35,11,77,0.66,0.71,0.45,-7.02,0.03,0.0,0.11,0,0.056,4,0.445,0.0,0.0,0.0,0.0,0.0,0.0,1,7
142,24z3vdNKRQrscegDnzgPZ8,Afterdark_(Slowed),Afterdark_(Slowed),2021-07-10,Synthellar,[],[],33,1,180,0.13,0.32,0.07,-17.67,0.8,0.921,0.09,1,0.032,4,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,1,16
146,4tQrHKTEQdJq8eATHcvDc1,Suicidal_Thoughts,Suicidal_Thoughts,2022-07-17,Nartuok,[],[],3,1,168,0.69,0.65,0.51,-6.78,0.0,0.0,0.28,1,0.224,4,0.505,0.0,0.0,0.0,0.0,0.0,0.0,1,12
149,6pWgRkpqVfxnj3WuIcJ7WP,Cornfield_Chase,Interstellar_(Original_Motion_Picture_Soundtrack)_[Expanded_Edition],2014-11-18,Hans_Zimmer,[],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",77,9,94,0.23,0.18,0.05,-16.46,0.95,0.982,0.1,0,0.042,4,0.048,1.0,0.0,0.0,0.0,1.0,0.0,1,25
154,0sf12qNH5qcw8qpgymFOqD,Blinding_Lights,Blinding_Lights,2019-11-29,The_Weeknd,[],"['canadian contemporary r&b', 'canadian pop', 'pop']",21,1,171,0.8,0.51,0.34,-4.08,0.0,0.0,0.09,1,0.063,4,0.345,0.0,0.0,0.0,1.0,0.0,0.0,1,12
155,5AnZGhVpAit04ocwEbzy04,T_Challa,Black_Panther:_Wakanda_Forever_(Original_Score),2022-11-11,Ludwig_Göransson,[],"['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",44,5,82,0.24,0.29,0.27,-16.65,0.74,0.94,0.15,0,0.045,3,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1,25
157,4M6pDt6pICsMiiwXGkufLe,Con_La_Brisa,Black_Panther:_Wakanda_Forever_-_Music_From_and_Inspired_By,2022-11-04,Foudeqush,['Ludwig_Göransson'],['r&b en espanol'],7,2,114,0.44,0.62,0.25,-10.33,0.51,0.333,0.14,0,0.031,4,0.251,0.0,0.0,0.0,0.0,0.0,0.0,1,8
159,4pBr2SjDVIxfGkUwvOJLx7,"Never_Forget_[Feat._Chef_187,_Tio_Nason,_Mwanjé]",Never_Forget,2022-06-28,Sampa_the_Great,"['Chef_187', 'Tio_Nason', 'Mwanje']","['alternative r&b', 'australian hip hop', 'conscious hip hop', 'escape room', 'zambian hip hop']",42,7,77,0.54,0.47,0.31,-6.68,0.55,0.0,0.15,1,0.113,4,0.314,0.0,0.0,0.0,0.0,0.0,0.0,1,7
165,219slQu3ALbTSAe9P22hvE,Happiest_Year,Feel_Something_(Deluxe),2022-01-28,Jaymes_Young,[],['indie poptimism'],79,1,113,0.17,0.5,0.35,-14.06,0.89,0.0,0.11,1,0.049,3,0.355,0.0,0.0,0.0,0.0,0.0,0.0,1,8
174,2awDnmL1D9cyIJFVruAQcF,Io_non_abito_al_mare,2640,2018-01-12,Francesca_Michielin,[],"['italian adult pop', 'italian pop']",52,0,72,0.71,0.44,0.31,-5.24,0.27,0.0,0.09,1,0.134,4,0.309,0.0,0.0,0.0,1.0,0.0,0.0,1,7
177,6xtQ23d8GEXgcxyUKPtwc5,Runaway,Hybrid_Theory_(Bonus_Edition),2000-10-24,Linkin_Park,[],"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",68,7,109,0.88,0.64,0.45,-4.74,0.01,0.0,0.25,1,0.058,4,0.446,0.0,0.0,0.0,1.0,0.0,0.0,1,21
179,5MEKqNAOlgt3sh5o0iq8EM,The_Devil_You_Know,The_Devil_You_Know,2017-06-06,X_Ambassadors,[],"['modern alternative rock', 'modern rock', 'stomp pop']",55,1,108,0.69,0.65,0.37,-7.37,0.0,0.611,0.12,1,0.032,4,0.374,0.0,0.0,0.0,0.0,0.0,0.0,1,8
184,31kad5Mkf4Nu9byPGkqbmT,In_essence_X_We_ll_show_them_all,In_essence_X_We_ll_show_them_all,2022-08-29,Lil_Jaico,[],[],0,10,68,0.41,0.21,0.15,-17.99,0.89,0.965,0.29,0,0.039,5,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1,15
193,5kJlocK6Tb8h28yDJUC7Ya,"In_the_house,_in_a_heartbeat","In_the_house,_in_a_heartbeat",2021-10-22,Remstage_Music,[],['instrumental djent'],44,9,76,0.58,0.37,0.27,-9.31,0.0,0.985,0.06,0,0.028,4,0.266,0.0,0.0,0.0,0.0,0.0,0.0,1,7
194,4xjoLg7ArTtSuE0lozbV4N,Capolinea,Silenzio,2013-05-07,Rancore,['DJ_Myke'],"['italian hip hop', 'italian underground hip hop']",33,8,170,0.79,0.47,0.39,-6.81,0.34,0.0,0.48,0,0.358,4,0.385,1.0,0.0,0.0,1.0,1.0,0.0,1,12
197,2LskIZrCeLxRvCiGP8gxlh,Arms_Around_You_(feat._Maluma_&_Swae_Lee),Arms_Around_You_(feat._Maluma_&_Swae_Lee),2018-10-25,XXXTENTACION,"['Lil_Pump', 'Swae_Lee', 'Maluma']","['emo rap', 'miami hip hop']",72,9,105,0.72,0.7,0.29,-5.45,0.03,0.0,0.13,0,0.041,4,0.288,1.0,0.0,0.0,1.0,1.0,0.0,1,21
203,0NwuXciw6eQc4edjwSBnV3,Non_Abbiamo_Età,Potere,2018-06-29,Luchè,[],"['italian hip hop', 'italian pop', 'rap napoletano']",72,6,193,0.69,0.37,0.19,-4.71,0.05,0.0,0.15,1,0.243,4,0.191,0.0,0.0,0.0,1.0,0.0,0.0,1,4
212,15KYz8HlB2yfQs5D4ILEMu,Sweet_Dreams,Sweet_Dreams,2022-02-02,Ravens_Rock,[],[],48,0,172,0.27,0.43,0.16,-11.11,0.89,0.961,0.1,0,0.032,4,0.163,0.0,0.0,0.0,0.0,0.0,0.0,1,12
214,1PHvwEhB9EUajUKTTIc5Vs,Creep_(feat._Tom_Ellis),Lucifer:_Seasons_1-5_(Original_Television_Soundtrack),2020-08-21,Lucifer_Cast,['Tom_Ellis'],[],56,6,119,0.11,0.38,0.05,-13.72,0.97,0.0,0.14,1,0.044,4,0.053,0.0,0.0,0.0,0.0,0.0,0.0,1,28
217,1d7vqdPSiLY4s8yKCKahOH,My_Demons,My_Demons,2021-04-30,Youth_Never_Dies,"['We_Are_The_Empty', 'Onlap']",[],44,3,174,0.72,0.35,0.61,-5.33,0.09,0.0,0.09,0,0.035,4,0.615,0.0,0.0,0.0,0.0,0.0,0.0,1,12
218,6xGruZOHLs39ZbVccQTuPZ,Glimpse_of_Us,Glimpse_of_Us,2022-06-10,Joji,[],['viral pop'],87,8,170,0.32,0.44,0.27,-9.26,0.89,0.0,0.14,1,0.053,3,0.268,0.0,0.0,0.0,0.0,0.0,0.0,1,12
220,4VnR7plUitZ788acvBHdP6,"I_spoke_to_the_devil_in_miami,_he_said_everything_would_be_fine",LOOK_AT_ME:_THE_ALBUM,2022-06-10,XXXTENTACION,[],"['emo rap', 'miami hip hop']",65,2,76,0.2,0.35,0.21,-13.65,0.98,0.003,0.19,1,0.037,4,0.215,1.0,0.0,0.0,1.0,1.0,0.0,1,7
222,1NlbmDUSYds1GJWHQkhm1D,Die_Trying,Fragments,2018-09-28,Digital_Punk,[],"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",53,9,155,0.94,0.29,0.14,-4.13,0.01,0.0,0.35,0,0.341,4,0.144,0.0,0.0,0.0,0.0,0.0,0.0,1,2
224,3kTHcnhGtg2B64IsrolJc9,Duel_of_The_Fates_-_Epic_Version_(Remastered),Duel_of_The_Fates_-_Epic_Version_(Remastered),2022-06-02,Samuel_Kim,[],['anime lo-fi'],0,4,77,0.73,0.32,0.29,-8.92,0.11,0.868,0.22,0,0.056,4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1,7
225,0OTNHGKcqQbk51bOYe462Y,ULTRA_SOLO,ULTRA_SOLO,2022-02-14,Polimá_Westcoast,['Pailita'],"['trap chileno', 'trap triste', 'urbano chileno', 'urbano latino']",78,1,110,0.85,0.8,0.26,-4.5,0.23,0.0,0.11,1,0.207,4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1,8
226,75FEaRjZTKLhTrFGsfMUXR,Running_Up_That_Hill_(A_Deal_With_God),Hounds_Of_Love,1985,Kate_Bush,[],"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",49,10,108,0.55,0.63,0.2,-13.12,0.72,0.003,0.06,0,0.055,4,0.197,0.0,0.0,0.0,0.0,0.0,0.0,1,21
228,3LLsO2IuQGONc3YIb4wD0W,RASETSU_-_Remix,RASETSU_(Remix),2021-02-09,Musicality,[],['anime rap'],30,4,172,0.53,0.5,0.21,-13.07,0.05,0.922,0.09,0,0.045,4,0.206,0.0,0.0,0.0,0.0,0.0,0.0,1,12
229,612dHPI0OoOsvWkweHXZXF,2K_FREESTYLE,2K_FREESTYLE,2020-02-16,Lazy3x,['Lil_Darkie'],['necrotrap'],68,8,109,0.68,0.59,0.28,-2.97,0.0,0.0,0.1,1,0.308,5,0.277,0.0,0.0,0.0,0.0,0.0,0.0,1,21
