,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
99,1odExI7RdWc4BT515LTAwj,Daylight,Daylight,2023-04-14,David_Kushner,[],['gen z singer-songwriter'],98,2,130,0.43,0.51,0.32,-9.47,0.83,0.0,0.09,0,0.034,4,0.324,0.0,0.0,0.0,0.0,0.0,0.0,1
104,4bPsiRqWPFPgLiPQR7jNo4,A_Lesser_Man,The_Idol_Episode_3_(Music_from_the_HBO_Original_Series),2023-06-19,The_Weeknd,[],"['canadian contemporary r&b', 'canadian pop', 'pop']",76,9,140,0.53,0.5,0.16,-8.51,0.01,0.001,0.32,0,0.033,4,0.161,0.0,0.0,0.0,1.0,0.0,0.0,1
107,3j0MqTxm02MzOOPsI3EySu,Canzone_d_estate,Opera_Futura,2023-06-23,Levante,[],"['italian adult pop', 'italian pop', 'turin indie']",51,9,116,0.79,0.66,0.83,-4.21,0.02,0.0,0.25,1,0.038,4,0.828,0.0,0.0,0.0,1.0,0.0,0.0,1
110,0RKR9cd6tqMSJmbNVBQsuS,King_of_Hearts,Feed_The_Beast,2023-06-23,Kim_Petras,[],"['alt z', 'pop', 'transpop']",71,7,133,0.83,0.68,0.8,-4.57,0.02,0.001,0.18,0,0.076,4,0.797,0.0,0.0,0.0,1.0,0.0,0.0,1
111,4EmH2iRucAgCOnhuJRotUi,Drifting,Drifting,2023-06-22,Tiësto,[],"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",71,9,130,0.95,0.62,0.38,-4.87,0.07,0.585,0.16,0,0.039,4,0.376,0.0,0.0,0.0,0.0,0.0,0.0,1
112,1aAE9RmUjVWacJjOEIL7aK,Maledetto_Mare,Maledetto_Mare,2023-06-23,Federico_Rossi,[],['italian pop'],52,8,156,0.88,0.54,0.57,-4.04,0.44,0.0,0.08,0,0.065,4,0.572,0.0,0.0,0.0,1.0,0.0,0.0,1
113,74yqsS2q0kYMopauE4D0Mi,TROPPO_CHIC_(Dragostea_Din_Tei),TROPPO_CHIC_(Dragostea_Din_Tei),2023-06-23,Caffellatte,['Haiducii'],['r&b italiano'],48,3,130,0.82,0.66,0.52,-5.25,0.02,0.0,0.19,1,0.163,4,0.522,0.0,0.0,0.0,0.0,0.0,0.0,1
133,5Dp8mj1sSEmPbp9za3BTwM,CASSA_FORTE,CASSA_FORTE,2023-06-23,Rizzo,['Greg_Willen'],['r&b italiano'],38,4,145,0.75,0.75,0.21,-5.48,0.1,0.07,0.1,0,0.162,4,0.215,0.0,0.0,0.0,0.0,0.0,0.0,1
136,696gO5dO34MHhmZlL9Mh19,True_Babe,True_Babe,2023-06-23,Gwen_Stefani,[],"['dance pop', 'pop']",62,9,118,0.81,0.61,0.41,-3.21,0.01,0.0,0.13,1,0.044,4,0.415,0.0,0.0,0.0,1.0,0.0,1.0,1
137,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
140,1FVJXPTCvJRsr3H359CuRV,Mi_piace,Intro,2023-06-23,Lauryyn,[],[],27,8,83,0.34,0.46,0.08,-10.31,0.55,0.085,0.1,1,0.045,4,0.077,0.0,0.0,0.0,0.0,0.0,0.0,1
141,5MIhOIJeFG5dLF9JrbL3KG,A_carte_scoperte,A_carte_scoperte,2023-06-23,Hanami,['kOkeshi'],[],31,1,136,0.46,0.71,0.61,-8.66,0.79,0.0,0.14,1,0.089,4,0.61,0.0,0.0,0.0,0.0,0.0,0.0,1
147,45hEUx8ywENLrB13nEfntt,rock_hudson,chemistry,2023-06-23,Kelly_Clarkson,[],"['dance pop', 'pop', 'talent show']",64,1,93,0.55,0.64,0.1,-7.61,0.01,0.0,0.12,1,0.035,4,0.101,0.0,0.0,0.0,1.0,0.0,0.0,1
155,0J9g1MMJDhyvOb3NWckHMm,Chulo_pt.2,Chulo_pt.2,2023-06-22,Bad_Gyal,"['Tokischa', 'Young_Miko']","['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol']",75,5,97,0.88,0.85,0.56,-2.55,0.06,0.0,0.07,0,0.126,4,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1
158,34xBhUgjCTUxe1BuypLL0X,Now_Or_Never,Now_Or_Never,2023-06-23,Martin_Solveig,['Faouzia'],"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",56,5,124,0.84,0.68,0.39,-5.11,0.02,0.0,0.31,1,0.062,4,0.39,0.0,0.0,0.0,0.0,0.0,0.0,1
162,3NCRqWAMQf4WCOExuTlcCq,L_Anziano,FDM,2023-06-23,Rame,[],['italian hip hop'],40,8,97,0.6,0.65,0.33,-7.6,0.09,0.0,0.18,0,0.267,4,0.332,0.0,0.0,0.0,1.0,0.0,0.0,1
176,4pMZgwTL354QFT6xIDLDif,The_Wonder,The_Wonder,2023-06-19,Miles_Kane,[],"['baroque pop', 'british indie rock', 'garage rock', 'modern rock']",47,10,106,0.96,0.52,0.51,-3.73,0.0,0.0,0.16,0,0.106,4,0.505,0.0,0.0,0.0,0.0,0.0,0.0,1
194,7CyPwkp0oE8Ro9Dd5CUDjW,"One_Of_The_Girls_(with_JENNIE,_Lily_Rose_Depp)",The_Idol_Episode_4_(Music_from_the_HBO_Original_Series),2023-06-23,The_Weeknd,"['JENNIE', 'Lily-Rose_Depp']","['canadian contemporary r&b', 'canadian pop', 'pop']",78,8,88,0.64,0.52,0.2,-6.29,0.05,0.0,0.16,1,0.032,4,0.202,0.0,0.0,0.0,1.0,0.0,0.0,1
196,3bkpVSoNvBkvt9LJMFT5at,Doomsday_(with_Juice_WRLD_&_Cordae),Doomsday,2023-06-23,Lyrical_Lemonade,"['Juice_WRLD', 'Cordae']",[],78,10,93,0.73,0.73,0.89,-3.94,0.06,0.0,0.3,0,0.203,4,0.885,0.0,0.0,0.0,0.0,0.0,0.0,1
198,45hEUx8ywENLrB13nEfntt,rock_hudson,chemistry,2023-06-23,Kelly_Clarkson,[],"['dance pop', 'pop', 'talent show']",64,1,93,0.55,0.64,0.1,-7.61,0.01,0.0,0.12,1,0.035,4,0.101,0.0,0.0,0.0,1.0,0.0,0.0,1
199,0RKR9cd6tqMSJmbNVBQsuS,King_of_Hearts,Feed_The_Beast,2023-06-23,Kim_Petras,[],"['alt z', 'pop', 'transpop']",71,7,133,0.83,0.68,0.8,-4.57,0.02,0.001,0.18,0,0.076,4,0.797,0.0,0.0,0.0,1.0,0.0,0.0,1
207,11lEoJlWD0d8dkH4YpkzFF,Some_Horses,Memory_Lane,2023-06-23,Old_Dominion,[],"['contemporary country', 'country', 'country road', 'modern country rock']",60,0,80,0.61,0.57,0.15,-8.68,0.29,0.0,0.11,0,0.036,4,0.154,0.0,0.0,0.0,0.0,0.0,0.0,1
208,696gO5dO34MHhmZlL9Mh19,True_Babe,True_Babe,2023-06-23,Gwen_Stefani,[],"['dance pop', 'pop']",62,9,118,0.81,0.61,0.41,-3.21,0.01,0.0,0.13,1,0.044,4,0.415,0.0,0.0,0.0,1.0,0.0,1.0,1
210,4USnWN7PzU3LT04l2qwXpo,Grim_Generation,Chris_Black_Changed_My_Life,2023-06-23,Portugal._The_Man,[],"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",59,7,124,0.84,0.64,0.47,-3.68,0.01,0.366,0.75,1,0.049,4,0.467,0.0,0.0,0.0,0.0,0.0,0.0,1
212,7JM71c4NDJh0gllX45eWRi,To_This_Day,To_This_Day,2023-06-20,DESTIN_CONRAD,['Musiq_Soulchild'],"['alternative r&b', 'indie r&b']",59,6,105,0.54,0.45,0.37,-8.54,0.61,0.0,0.3,0,0.086,3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1
218,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
234,4EmH2iRucAgCOnhuJRotUi,Drifting,Drifting,2023-06-22,Tiësto,[],"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",71,9,130,0.95,0.62,0.38,-4.87,0.07,0.585,0.16,0,0.039,4,0.376,0.0,0.0,0.0,0.0,0.0,0.0,1
235,42LSQpK6JdGjqRttkxIoy1,Gonna_Be_Good,Gonna_Be_Good,2023-06-21,Madeon,[],"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']",60,2,78,0.61,0.49,0.15,-7.19,0.23,0.045,0.13,1,0.033,4,0.147,0.0,0.0,0.0,0.0,0.0,0.0,1
237,4ylj6KTRlC25nhizGTlFPA,the_alternative,to_love_in_the_21st_century,2023-06-23,Lyn_Lapid,[],['gen z singer-songwriter'],55,0,117,0.28,0.51,0.2,-9.34,0.42,0.005,0.1,0,0.055,3,0.203,0.0,0.0,0.0,0.0,0.0,0.0,1
247,6vQCNDNbA0DQoSPftbzS1W,Time_After_Time_-_Spotify_Singles,Time_After_Time_(Spotify_Singles),2023-06-22,Lennon_Stella,[],"['alt z', 'canadian pop', 'uk pop']",54,0,128,0.4,0.65,0.42,-9.45,0.51,0.001,0.08,1,0.029,4,0.417,0.0,0.0,0.0,0.0,0.0,0.0,1
248,5deRvXDZlILXkHZG1DA4sJ,Girlfriend,Girlfriend,2023-06-21,Äyanna,[],['chill r&b'],49,1,78,0.72,0.54,0.54,-6.33,0.31,0.0,0.14,0,0.221,4,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1
252,4xUtTQuVT6UBF76SPsgOsr,RoCKSTAR_2.0,RoCKSTAR_2.0,2023-06-21,Duki,['Jhayco'],"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",78,2,170,0.55,0.63,0.3,-12.12,0.0,0.0,0.13,1,0.069,4,0.297,0.0,0.0,0.0,0.0,0.0,0.0,1
256,0kQTQQzTCf958lQCmPTraa,SOUL_SURVIVOR,THE_SOUTHWESTERN_BENEDICTION,2023-06-23,C.S._Armstrong,[],[],45,5,138,0.74,0.59,0.46,-5.97,0.47,0.0,0.25,0,0.249,4,0.456,0.0,0.0,0.0,0.0,0.0,0.0,1
259,0ohtsxNylBu2zu6hlopn1X,die_young,die_young,2023-06-20,venbee,['Rudimental'],[],63,11,178,0.74,0.36,0.23,-4.26,0.05,0.0,0.15,1,0.099,4,0.227,0.0,0.0,0.0,0.0,0.0,0.0,1
260,4pmiEqiZKvQIJP7zquAzHg,Kill_Your_Pain_(with_King_Princess),Kill_Your_Pain_(with_King_Princess),2023-06-21,Boyish,['King_Princess'],['indie pop'],53,1,146,0.64,0.49,0.34,-6.19,0.01,0.0,0.09,1,0.074,4,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1
261,24PrTycumc8Itm3ksXF0jP,Reborn,When_Everything_Went_Dark,2023-06-23,Bishop_Briggs,[],['modern alternative rock'],52,1,127,0.88,0.81,0.51,-2.9,0.06,0.0,0.04,1,0.041,4,0.514,0.0,0.0,0.0,0.0,0.0,0.0,1
265,3oNnzH6hmqIGIhJ1NcHlrh,CORAZÓN_VACÍO,CORAZÓN_VACÍO,2023-06-22,Maria_Becerra,[],['pop argentino'],78,1,98,0.79,0.68,0.4,-4.79,0.33,0.0,0.29,1,0.059,4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1
266,5QeYUoI9ApfeOVaKhfR4Xg,Feel_Good_Too,Mystical_Magical_Rhythmical_Radical_Ride,2023-06-23,Jason_Mraz,[],"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",54,6,115,0.67,0.88,0.52,-7.17,0.16,0.0,0.11,0,0.059,4,0.524,0.0,0.0,0.0,1.0,0.0,0.0,1
274,20LjVwLgn8EaT2LvEoK0Nl,Special_K,Special_K,2023-06-23,BLP_KOSHER,[],[],63,10,158,0.61,0.63,0.33,-6.19,0.45,0.0,0.13,0,0.154,4,0.327,0.0,0.0,0.0,0.0,0.0,0.0,1
275,4WAwwhUc54CHYksDvVP8Zt,PETTY_(feat._TiaCorine),BAD_SON,2023-06-23,Curtis_Waters,['TiaCorine'],[],44,6,140,0.43,0.79,0.49,-11.15,0.21,0.0,0.16,0,0.071,4,0.486,0.0,0.0,0.0,0.0,0.0,0.0,1
281,4xALaz8yKhRocRemoNXxAp,Ugly_Sweater,Ugly_Sweater,2023-06-23,Sada_Baby,[],"['detroit trap', 'scam rap']",41,6,93,0.6,0.67,0.47,-8.03,0.0,0.0,0.2,1,0.316,4,0.474,0.0,0.0,0.0,0.0,0.0,0.0,1
287,34iCDXDpWVR6ET2aBRiAqb,Quick_Question,Quick_Question,2023-06-23,Babyboy_AV,[],['afrobeats'],52,3,98,0.47,0.78,0.63,-11.23,0.13,0.0,0.26,0,0.219,4,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1
